name,ppg,rpg,apg,fg_pct,three_pt_pct,spg,bpg,tov,freethrow_pct
Michael Porter Jr.,17.4,5.5,1.0,.487,.414,0.6,0.5,1.1,.800
Gary Trent Jr.,17.4,2.6,1.6,.433,.369,1.6,0.2,0.8,.839
Spencer Dinwiddie,17.7,3.1,5.3,.455,.405,0.7,0.3,1.7,.821
Spencer Dinwiddie,16.5,4.1,9.1,.404,.289,1.1,0.3,2.1,.797
Andrew Wiggins,17.1,5.0,2.3,.473,.396,1.2,0.8,1.3,.611
Norman Powell,17.0,2.9,1.8,.479,.397,0.8,0.3,1.7,.812
OG Anunoby,16.8,5.0,2.0,.476,.387,,0.7,2.0,.838
Buddy Hield,16.8,5.0,2.8,.458,.425,1.2,0.3,1.7,.822
Bennedict Mathurin,16.7,4.1,1.5,.434,.323,0.6,0.2,1.9,.828
Josh Giddey,16.6,7.9,6.2,.482,.325,0.8,0.4,2.8,.731
Christian Wood,16.6,7.3,1.8,.515,.376,0.4,1.1,1.8,.772
Aaron Gordon,16.3,6.6,3.0,.564,.347,0.8,0.8,1.4,.608
Jaden Ivey,16.3,3.9,5.2,.416,.343,0.8,0.2,3.2,.747
Evan Mobley,16.2,9.0,2.8,.554,.216,0.8,1.5,1.8,.674
RaiQuan Gray,16.0,9.0,7.0,.500,.400,0.0,1.0,4.0,1.000
Brook Lopez,15.9,6.7,1.3,.531,.374,0.5,2.5,1.4,.784
Russell Westbrook,15.9,6.2,7.5,.417,.296,1.0,0.4,3.5,.655
Russell Westbrook,15.8,4.9,7.6,.489,.356,1.1,0.5,3.4,.658
P.J. Washington,15.7,4.9,2.4,.444,.348,0.9,1.1,1.5,.730
Cameron Johnson,13.9,3.8,1.5,.474,.455,0.9,0.4,0.6,.818
Cameron Johnson,16.6,4.8,2.1,.468,.372,1.4,0.3,1.1,.851
De'Andre Hunter,15.4,4.2,1.4,.461,.350,0.5,0.3,1.2,.826
Scottie Barnes,15.3,6.6,4.8,.456,.281,1.1,0.8,2.0,.772
Skylar Mays,15.3,3.2,8.3,.500,.462,1.0,0.2,1.7,.923
Wendell Carter Jr.,15.2,8.7,2.3,.525,.356,0.5,0.6,1.9,.738
Kevin Huerter,15.2,3.3,2.9,.485,.402,1.1,0.3,1.3,.725
Khris Middleton,15.1,4.2,4.9,.436,.315,0.7,0.2,2.2,.902
Harrison Barnes,15.0,4.5,1.6,.473,.374,0.7,0.1,1.0,.847
Malcolm Brogdon,14.9,4.2,3.7,.484,.444,0.7,0.3,1.5,.870
Immanuel Quickley,14.9,4.2,3.4,.448,.370,1.0,0.2,1.2,.819
Alperen Şengün,14.8,9.0,3.9,.553,.333,0.9,0.9,2.6,.715
Tobias Harris,14.7,5.7,2.5,.501,.389,0.9,0.5,1.2,.876
Gordon Hayward,14.7,4.3,4.1,.475,.325,0.8,0.2,2.0,.811
Trey Murphy III,14.5,3.6,1.4,.484,.406,1.1,0.5,0.8,.905
Tim Hardaway Jr.,14.4,3.5,1.8,.401,.385,0.7,0.2,0.8,.770
Jarrett Allen,14.3,9.8,1.7,.644,.100,0.8,1.2,1.4,.733
Dillon Brooks,14.3,3.3,2.6,.396,.326,0.9,0.2,1.4,.779
Collin Sexton,14.3,2.2,2.9,.506,.393,0.6,0.1,1.8,.819
Bobby Portis,14.1,9.6,1.5,.496,.370,0.4,0.2,1.2,.768
Jonas Valančiūnas,14.1,10.2,1.8,.547,.349,0.3,0.7,2.0,.826
Jalen Williams,14.1,4.5,3.3,.521,.356,1.4,0.5,1.6,.812
Bogdan Bogdanović,14.0,3.1,2.8,.447,.406,0.8,0.3,1.2,.831
Markelle Fultz,14.0,3.9,5.7,.514,.310,1.5,0.4,2.3,.783
Chris Paul,13.9,4.3,8.9,.440,.375,1.5,0.4,1.9,.831
Saddiq Bey,14.8,4.7,1.6,.404,.345,1.0,0.2,1.0,.861
Saddiq Bey,11.6,4.8,1.4,.470,.400,0.8,0.0,0.7,.862
Luguentz Dort,13.7,4.6,2.1,.388,.330,1.0,0.3,1.2,.772
Malik Monk,13.5,2.6,3.9,.448,.359,0.6,0.3,1.9,.889
Rudy Gobert,13.4,11.6,1.2,.659,.000,0.8,1.4,1.7,.644
Jusuf Nurkić,13.3,9.1,2.9,.519,.361,0.8,0.8,2.3,.661
Kris Dunn,13.2,4.5,5.6,.537,.472,1.1,0.5,1.6,.774
John Collins,13.1,6.5,1.2,.508,.292,0.6,1.0,1.1,.803
Cole Anthony,13.0,4.8,3.9,.454,.364,0.6,0.5,1.5,.894
Austin Reaves,13.0,3.0,3.4,.529,.398,0.5,0.3,1.5,.864
Tre Jones,12.9,3.6,6.6,.459,.285,1.3,0.1,1.6,.860
Alec Burks,12.8,3.1,2.2,.436,.414,0.7,0.2,1.1,.814
Jabari Smith Jr.,12.8,7.2,1.3,.408,.307,0.5,0.9,1.3,.786
Malik Beasley,13.4,3.6,1.7,.396,.359,0.8,0.1,1.1,.841
Malik Beasley,11.1,3.3,1.2,.392,.353,0.8,0.0,1.2,.619
KJ Martin,12.7,5.5,1.5,.569,.315,0.5,0.4,1.1,.680
Nic Claxton,12.6,9.2,1.9,,.000,0.9,2.5,1.3,.541
Dennis Schröder,12.6,2.5,4.5,.415,.329,0.8,0.2,1.7,.857
Jakob Poeltl,12.1,9.0,3.1,.616,.000,0.8,1.1,2.1,.605
Jakob Poeltl,13.1,9.1,2.2,.652,,1.2,1.3,1.1,.569
Mac McClung,12.5,5.0,4.5,.450,.364,0.0,0.0,1.5,.600
Kelly Olynyk,12.5,6.2,3.7,.499,.394,0.9,0.5,2.5,.853
