name,age,position,team
Monte Morris,27,PG,WAS
Cameron Payne,28,PG,PHO
Reggie Jackson,32,PG,LAC
Reggie Jackson,32,PG,DEN
Malaki Branham,19,SG,SAS
Doug McDermott,31,SF,SAS
Patrick Williams,21,PF,CHI
Josh Richardson,29,SG,SAS
Josh Richardson,29,SG,NOP
De'Anthony Melton,24,SG,PHI
Aaron Nesmith,23,SF,IND
James Wiseman,21,C,GSW
James Wiseman,21,C,DET
Brandon Clarke,26,PF,MEM
Jonathan Kuminga,20,PF,GSW
Onyeka Okongwu,22,C,ATL
Luka Šamanić,23,PF,UTA
Shaedon Sharpe,19,SG,POR
Jalen Suggs,21,SG,ORL
Thomas Bryant,25,C,LAL
Thomas Bryant,25,C,DEN
Josh Hart,27,SF,POR
Josh Hart,27,SF,NYK
Al Horford,36,C,BOS
Herbert Jones,24,PF,NOP
Julian Champagnie,21,SF,PHI
Julian Champagnie,21,SF,SAS
Cam Reddish,23,SF,NYK
Cam Reddish,23,SF,POR
Keita Bates-Diop,27,PF,SAS
Coby White,22,SG,CHI
Caleb Martin,27,SF,MIA
Isaiah Joe,23,SG,OKC
Andrew Nembhard,23,SG,IND
Jalen McDaniels,25,SF,CHO
Jalen McDaniels,25,SF,PHI
Kyle Anderson,29,PF,MIN
Chris Boucher,30,PF,TOR
Donte DiVincenzo,26,SG,GSW
Jalen Smith,22,C,IND
Gabe Vincent,26,PG,MIA
Luke Kennard,26,SG,LAC
Luke Kennard,26,SG,MEM
Hamidou Diallo,24,SF,DET
Tari Eason,21,PF,HOU
Precious Achiuwa,23,C,TOR
Deni Avdija,22,SF,WAS
Seth Curry,32,SG,BRK
Walker Kessler,21,C,UTA
Bol Bol,23,PF,ORL
Jalen Duren,19,C,DET
Josh Green,22,SG,DAL
Naji Marshall,25,SF,NOP
Taurean Prince,28,PF,MIN
Jae'Sean Tate,27,SF,HOU
Santi Aldama,22,PF,MEM
Jose Alvarado,24,PG,NOP
Daniel Gafford,24,C,WAS
Mark Williams,21,C,CHO
AJ Griffin,19,SF,ATL
Jaden Hardy,20,SG,DAL
Shaquille Harrison,29,SG,POR
Terance Mann,26,SG,LAC
Royce O'Neale,29,SF,BRK
Dennis Smith Jr.,25,PG,CHO
Jordan Nwora,24,SF,MIL
Jordan Nwora,24,SF,IND
T.J. McConnell,30,PG,IND
Cedi Osman,27,SF,CLE
Landry Shamet,25,SG,PHO
Steven Adams,29,C,MEM
Ayo Dosunmu,23,SG,CHI
Draymond Green,32,PF,GSW
Shake Milton,26,SG,PHI
Dorian Finney-Smith,29,PF,DAL
Dorian Finney-Smith,29,PF,BRK
Terrence Ross,31,SG,ORL
Terrence Ross,31,SG,PHO
Gary Harris,28,SG,ORL
Kevin Love,34,PF,CLE
Kevin Love,34,PF,MIA
Damion Lee,30,SG,PHO
Georges Niang,29,PF,PHI
Nick Richards,25,C,CHO
Aleksej Pokusevski,21,PF,OKC
Grant Williams,24,PF,BOS
Jevon Carter,27,PG,MIL
Kemba Walker,32,PG,DAL
Kenrich Williams,28,PF,OKC
Robert Williams,25,C,BOS
Gabe York,29,SG,IND
Jarred Vanderbilt,23,PF,UTA
Jarred Vanderbilt,23,PF,LAL
Ochai Agbaji,22,SG,UTA
Chris Duarte,25,SF,IND
Duane Washington Jr.,22,SG,PHO
Jeff Green,36,PF,DEN
Tre Mann,21,PG,OKC
Pat Connaughton,30,SF,MIL
Joe Harris,31,SF,BRK
Trey Lyles,27,PF,SAC
T.J. Warren,29,PF,BRK
T.J. Warren,29,SF,PHO
Devonte' Graham,27,PG,NOP
Devonte' Graham,27,PG,SAS
Torrey Craig,32,PF,PHO
Mitchell Robinson,24,C,NYK
Obi Toppin,24,PF,NYK
Trendon Watford,22,PF,POR
Delon Wright,30,PG,WAS
Jay Huff,24,C,WAS
Josh Okogie,24,SG,PHO
Reggie Bullock,31,SF,DAL
Isaiah Jackson,21,C,IND
Kendrick Nunn,27,SG,LAL
Kendrick Nunn,27,SG,WAS
Troy Brown Jr.,23,SF,LAL
Edmond Sumner,27,SG,BRK
Lindell Wigginton,24,PG,MIL
Eugene Omoruyi,25,SF,OKC
Eugene Omoruyi,25,SF,DET
Chance Comanche,26,C,POR
Kevon Looney,26,C,GSW
Joshua Primo,20,SG,SAS
Daniel Theis,30,C,IND
Xavier Tillman Sr.,24,C,MEM
Svi Mykhailiuk,25,SF,NYK
Svi Mykhailiuk,25,SF,CHO
Jae Crowder,32,PF,MIL
Willy Hernangómez,28,C,NOP
Joe Ingles,35,SF,MIL
Ty Jerome,25,SG,GSW
Cory Joseph,31,PG,DET
Romeo Langford,23,SG,SAS
Ben Simmons,26,PG,BRK
Will Barton,32,SG,WAS
Will Barton,32,SG,TOR
Larry Nance Jr.,30,C,NOP
Jeremiah Robinson-Earl,22,PF,OKC
Aaron Wiggins,24,SG,OKC
Justise Winslow,26,PF,POR
Terence Davis,25,SG,SAC
Anthony Lamb,25,SF,GSW
Isaiah Livers,24,PF,DET
Théo Maledon,21,PG,CHO
Dwight Powell,31,C,DAL
David Roddy,21,PF,MEM
Kevin Knox,23,SF,DET
Kevin Knox,23,PF,POR
Mo Bamba,24,C,ORL
Mo Bamba,24,C,LAL
Drew Eubanks,25,C,POR
Jordan Goodwin,24,PG,WAS
Jock Landale,27,C,PHO
Nassir Little,22,SF,POR
Brandon Boston Jr.,21,SF,LAC
Luka Garza,24,C,MIN
Jay Scrubb,22,SG,ORL
Cody Zeller,30,C,MIA
Dario Šarić,28,PF,PHO
Dario Šarić,28,C,OKC
R.J. Hampton,21,SG,ORL
R.J. Hampton,21,SG,DET
JaMychal Green,32,PF,GSW
Sam Hauser,25,SF,BOS
Isaac Okoro,22,SF,CLE
Duncan Robinson,28,SF,MIA
Goran Dragić,36,PG,CHI
Goran Dragić,36,PG,MIL
Simone Fontecchio,27,SF,UTA
Patrick Beverley,34,SG,LAL
Patrick Beverley,34,PG,CHI
Nickeil Alexander-Walker,24,SG,UTA
Nickeil Alexander-Walker,24,SG,MIN
Jared Butler,22,PG,OKC
Quenton Jackson,24,PG,WAS
Patty Mills,34,PG,BRK
Sandro Mamukelashvili,23,C,MIL
Sandro Mamukelashvili,23,C,SAS
Mike Muscala,31,C,OKC
Mike Muscala,31,C,BOS
Nicolas Batum,34,PF,LAC
Oshae Brissett,24,PF,IND
Evan Fournier,30,SG,NYK
Saben Lee,23,PG,PHI
Saben Lee,23,PG,PHO
Robert Covington,32,PF,LAC
Andre Drummond,29,C,CHI
Maxi Kleber,31,PF,DAL
Jaylin Williams,20,C,OKC
Josh Christopher,21,SG,HOU
Johnny Davis,20,SG,WAS
Stanley Johnson,26,SF,SAS
Charles Bassey,22,C,SAS
Rodney McGruder,31,SG,DET
Ziaire Williams,21,SF,MEM
James Bouknight,22,SG,CHO
Alex Caruso,28,PG,CHI
Montrezl Harrell,29,C,PHI
Jalen Johnson,21,SF,ATL
Davion Mitchell,24,PG,SAC
Payton Pritchard,25,PG,BOS
Derrick Rose,34,PG,NYK
Yuta Watanabe,28,SF,BRK
Danny Green,35,SG,MEM
Danny Green,35,SG,CLE
Jarrell Brantley,26,PF,UTA
Wenyen Gabriel,25,C,LAL
Nikola Jović,19,PF,MIA
Otto Porter Jr.,29,SF,TOR
Jamal Cain,23,PF,MIA
Bryce McGowens,20,SG,CHO
Lamar Stevens,25,SF,CLE
Dewayne Dedmon,33,C,MIA
Dewayne Dedmon,33,C,PHI
Darius Bazley,22,C,OKC
Darius Bazley,22,C,PHO
Rudy Gay,36,PF,UTA
Javonte Green,29,SF,CHI
Zeke Nnaji,22,PF,DEN
Ricky Rubio,32,PG,CLE
Lindy Waters III,25,SG,OKC
MarJon Beauchamp,22,SF,MIL
DeAndre Jordan,34,C,DEN
John Konchar,26,SF,MEM
George Hill,36,PG,MIL
George Hill,36,SG,IND
Vlatko Čančar,25,PF,DEN
Isaiah Hartenstein,24,C,NYK
Jaxson Hayes,22,C,NOP
Jonathan Isaac,25,PF,ORL
Derrick Jones Jr.,25,PF,CHI
Kenneth Lofton Jr.,20,PF,MEM
Cody Martin,27,SF,CHO
Sam Merrill,26,SG,CLE
Blake Wesley,19,SG,SAS
Ousmane Dieng,19,PF,OKC
Chimezie Metu,25,PF,SAC
Austin Rivers,30,SG,MIN
Danuel House Jr.,29,SF,PHI
Johnny Juzang,21,SG,UTA
Meyers Leonard,30,C,MIL
Garrison Mathews,26,SG,HOU
Garrison Mathews,26,SG,ATL
Moses Moody,20,SG,GSW
Christian Braun,21,SG,DEN
Keon Johnson,20,SG,POR
Chuma Okeke,24,SF,ORL
Day'Ron Sharpe,21,C,BRK
Dean Wade,26,PF,CLE
TyTy Washington Jr.,21,PG,HOU
Gary Payton II,30,SG,POR
Gary Payton II,30,SG,GSW
Dalano Banton,23,PG,TOR
Dāvis Bertāns,30,PF,DAL
Malachi Flynn,24,PG,TOR
Kira Lewis Jr.,21,PG,NOP
Justin Holiday,33,SF,ATL
Justin Holiday,33,SF,DAL
Goga Bitadze,23,C,IND
Goga Bitadze,23,C,ORL
Jarrett Culver,23,SF,ATL
A.J. Green,23,SG,MIL
Haywood Highsmith,26,PF,MIA
JaVale McGee,35,C,DAL
Thaddeus Young,34,PF,TOR
Omer Yurtseven,24,C,MIA
Moses Brown,23,C,LAC
Moses Brown,23,C,BRK
Bismack Biyombo,30,C,PHO
Michael Carter-Williams,31,PG,ORL
Justin Minaya,23,SF,POR
Xavier Sneed,25,SF,CHO
Paul Reed,23,C,PHI
Admiral Schofield,25,PF,ORL
Ish Wainright,28,SF,PHO
McKinley Wright IV,24,PG,DAL
Matisse Thybulle,25,SF,PHI
Matisse Thybulle,25,SG,POR
Blake Griffin,33,C,BOS
Kevon Harris,25,SG,ORL
Serge Ibaka,33,C,MIL
Isaiah Roby,24,PF,SAS
Daishen Nix,20,PG,HOU
Olivier Sarr,23,C,OKC
Bruno Fernando,24,C,HOU
Bruno Fernando,24,C,ATL
Patrick Baldwin Jr.,20,SF,GSW
Dominick Barlow,19,PF,SAS
Gorgui Dieng,33,C,SAS
Udonis Haslem,42,C,MIA
Aaron Holiday,26,PG,ATL
Jabari Walker,20,PF,POR
Markieff Morris,33,PF,BRK
Markieff Morris,33,PF,DAL
Xavier Cooks,27,PF,WAS
Dyson Daniels,19,PG,NOP
Darius Days,23,SF,HOU
Caleb Houstan,20,SF,ORL
Furkan Korkmaz,25,SG,PHI
Luke Kornet,27,C,BOS
JT Thor,20,PF,CHO
A.J. Lawson,22,SG,MIN
A.J. Lawson,22,SG,DAL
David Duke Jr.,23,SG,BRK
Nathan Knight,25,C,MIN
Jordan McLaughlin,26,PG,MIN
Orlando Robinson,22,C,MIA
Matt Ryan,25,SF,LAL
Matt Ryan,25,SF,MIN
Bryn Forbes,29,SG,MIN
Damian Jones,27,C,LAL
Damian Jones,27,C,UTA
Udoka Azubuike,23,C,UTA
Miles McBride,22,PG,NYK
P.J. Tucker,37,PF,PHI
Amir Coffey,25,SF,LAC
Taj Gibson,37,C,WAS
Kai Jones,22,C,CHO
Wesley Matthews,36,SF,MIL
Micah Potter,24,PF,UTA
